,Lead Artist(s),Counts,familiarity,hotttnesss
1244,Madonna,36,0.834375,0.780054
1252,Mariah Carey,29,0.823746,0.817989
1619,Rihanna,27,0.849921,0.830018
1885,The Beatles,26,0.905476,0.775545
636,Elton John,26,0.826513,0.681196
909,Janet Jackson,23,0.795111,0.752127
1316,Michael Jackson,22,0.870374,0.753392
1808,Stevie Wonder,22,0.847908,0.732212
2241,Whitney Houston,21,0.811,0.675415
2197,Usher,20,0.791469,0.705289
1536,Pink,18,0.504721,0.725296
1569,R. Kelly,17,0.77348,0.70547
1084,Kelly Clarkson,16,0.785063,0.740926
1893,The Black Eyed Peas,16,0.780409,0.712937
187,Beyoncé,16,0.848403,0.795543
296,Britney Spears,16,0.825172,0.766892
639,Elvis Presley,16,0.835932,0.794542
377,Chris Brown,15,0.830725,0.834893
375,Chicago,15,0.711847,0.632087
642,Eminem,14,0.883337,0.814835
110,Aretha Franklin,14,0.789794,0.661031
1077,Katy Perry,14,0.81656,0.812754
1220,Ludacris,14,0.786717,0.621592
1852,Taylor Swift,14,0.869269,0.901828
1640,Rod Stewart,14,0.757625,0.732731
2091,The Temptations,13,0.748694,0.668853
1530,Phil Collins,13,0.773735,0.740115
2058,The Rolling Stones,13,0.881965,0.734121
1884,The Beach Boys,13,0.823481,0.690003
2084,The Supremes,12,0.712075,0.61469
1264,Maroon 5,12,0.8101,0.849666
171,Bee Gees,12,0.754194,0.715408
206,Billy Joel,12,0.78699,0.663087
1119,Kool & the Gang,12,0.691664,0.633799
1056,Justin Timberlake,12,0.812701,0.779031
1135,Lady Gaga,12,0.841422,0.786401
74,Alicia Keys,12,0.811279,0.661015
278,Boyz II Men,12,0.7288,0.675568
265,Bon Jovi,12,0.804859,0.733684
1176,Lionel Richie,12,0.736176,0.620205
51,Aerosmith,12,0.831761,0.673221
1069,Kanye West,12,0.877735,0.761182
1392,Neil Diamond,12,0.71678,0.704567
1444,Olivia Newton-John,12,0.664205,0.592636
533,Destiny's Child,12,0.738117,0.653732
1907,The Carpenters,11,0.704199,0.732123
36,Aaliyah,11,0.717678,0.558468
1397,Nelly,11,0.752542,0.788832
289,Brenda Lee,11,0.625662,0.639209
482,Daryl Hall & John Oates,11,0.321972,0.324714
307,Bryan Adams,11,0.748057,0.762037
163,Barry Manilow,11,0.671846,0.641166
557,Dionne Warwick,11,0.638665,0.587998
765,George Michael,11,0.738687,0.645521
1415,Nickelback,11,0.776987,0.656072
601,Duran Duran,11,0.78713,0.700625
368,Cher,11,0.731248,0.640134
1271,Marvin Gaye,11,0.81468,0.771595
539,Diana Ross,11,0.733399,0.595538
931,Jennifer Lopez,11,0.772317,0.724023
922,Jay-Z,11,0.882358,0.66941
579,Donna Summer,10,0.714653,0.633971
282,Brandy,10,0.69142,0.615432
1606,Richard Marx,10,0.635424,0.615229
706,Fleetwood Mac,10,0.809559,0.79631
1838,T.I.,10,0.818747,0.688594
760,Genesis,10,0.77533,0.611397
1312,Michael Bolton,10,0.656021,0.595707
1839,TLC,10,0.707816,0.649953
852,Huey Lewis and the News,10,0.648186,0.598361
1389,Ne-Yo,10,0.765938,0.713347
594,Drake,10,0.871473,0.892731
707,Flo Rida,9,0.719549,0.826874
1551,Prince,9,0.837057,0.609048
2127,Three Dog Night,9,0.642857,0.587965
1585,Ray Charles,9,0.787315,0.713238
2158,Toni Braxton,9,0.701163,0.617308
21,50 Cent,9,0.801128,0.626306
1163,Lil Wayne,9,0.87316,0.627773
1813,Styx,9,0.687737,0.622362
632,Electric Light Orchestra,9,0.737596,0.716701
1693,Santana,9,0.774846,0.654088
609,"Earth, Wind & Fire",9,0.759008,0.647232
304,Bruce Springsteen,9,0.829326,0.774736
715,Foreigner,9,0.705965,0.64038
1275,Mary J. Blige,9,0.783095,0.677612
348,Celine Dion,9,0.778872,0.772432
1094,Kenny Rogers,9,0.685387,0.677251
655,Eric Clapton,8,0.815467,0.661966
1729,Sheryl Crow,8,0.749094,0.696772
1563,Queen,8,0.859288,0.746099
1078,Ke$ha,8,0.736838,0.676621
1707,Sean Paul,8,0.711465,0.689592
2024,The Miracles,8,0.568338,0.520726
419,Commodores,8,0.670503,0.600145
384,Christina Aguilera,8,0.787175,0.701268
1658,Roy Orbison,8,0.750829,0.618573
1959,The Four Seasons,8,0.5111,0.492237
1081,Keith Sweat,8,0.647251,0.590372
2145,Tom Jones,8,0.688108,0.66348
1089,Kenny Chesney,8,0.726528,0.755465
306,Bruno Mars,8,0.77111,0.795242
607,Eagles,8,0.793671,0.709249
825,Heart,8,0.762865,0.607495
250,Bobby Brown,8,0.662669,0.575905
2130,Tim McGraw,8,0.735289,0.782224
129,Avril Lavigne,8,0.790646,0.690703
1850,Taylor Dayne,8,0.55527,0.573124
1343,Missy Elliott,8,0.754683,0.781241
1349,Monica,8,0.716591,0.58952
56,Akon,8,0.759084,0.74164
1487,Paul Anka,8,0.617786,0.65688
55,Air Supply,8,0.623394,0.615392
102,Anne Murray,8,0.561309,0.540507
14,3 Doors Down,8,0.717374,0.666012
146,Backstreet Boys,7,0.75274,0.664011
1030,Johnny Rivers,7,0.575287,0.512762
92,Andy Gibb,7,0.495437,0.522624
1931,The Dave Clark Five,7,0.563669,0.492106
516,Def Leppard,7,0.76956,0.740028
1169,Linda Ronstadt,7,0.694309,0.592207
2224,War,7,0.645505,0.55522
1128,LL Cool J,7,0.74255,0.601628
897,James Brown,7,0.815852,0.656972
1,'N Sync,7,0.672966,0.675298
1501,Paula Abdul,7,0.639754,0.585614
835,Herman's Hermits,7,0.626261,0.608001
1991,The Jackson 5,7,0.53256,0.286092
2189,U2,7,0.871539,0.736157
2077,The Spinners,7,0.633124,0.55039
157,Barbra Streisand,7,0.722439,0.660287
1538,Pitbull,7,0.755046,0.833483
1617,Ricky Nelson,7,0.458826,0.506879
2142,Toby Keith,7,0.710142,0.704435
1175,Linkin Park,7,0.826609,0.728359
2132,Timbaland,7,0.802656,0.657657
436,Creedence Clearwater Revival,7,0.746763,0.666972
814,Hall & Oates,7,0.7214,0.674015
883,Ja Rule,7,0.657942,0.573153
779,Ginuwine,7,0.676805,0.566955
1336,Miley Cyrus,7,0.816509,0.743093
780,Gladys Knight & the Pips,7,0.608143,0.597451
1740,Simon & Garfunkel,7,0.788272,0.659478
1836,T-Pain,7,0.748308,0.611274
420,Connie Francis,7,0.57581,0.570955
1809,Sting,7,0.808319,0.703623
1724,Sheena Easton,7,0.550501,0.524756
829,Helen Reddy,7,0.502515,0.521352
1679,Sam Cooke,7,0.756312,0.630574
1188,Little River Band,7,0.563484,0.507008
648,Enrique Iglesias,7,0.751302,0.808813
1458,Outkast,6,0.793252,0.605117
495,David Guetta,6,0.807236,0.887831
1428,No Doubt,6,0.74574,0.625205
339,Carrie Underwood,6,0.775916,0.785008
1867,The 5th Dimension,6,0.561139,0.53446
2073,The Shirelles,6,0.628393,0.546037
676,Exposé,6,0.410908,0.485577
794,Goo Goo Dolls,6,0.72721,0.61564
8,112,6,0.610372,0.574266
644,En Vogue,6,0.636049,0.580044
1558,Puff Daddy,6,0.615368,0.418673
2100,The Turtles,6,0.651635,0.566446
259,Bobby Rydell,6,0.427729,0.4768
841,Hootie & the Blowfish,6,0.629028,0.56753
263,Bobby Vinton,6,0.538338,0.592616
1337,Milli Vanilli,6,0.567305,0.500882
1950,The Everly Brothers,6,0.704177,0.592331
2138,Tina Turner,6,0.73926,0.615385
1408,New Kids on the Block,6,0.655902,0.615362
71,Alice Cooper,6,0.790111,0.67473
681,Faith Hill,6,0.701333,0.674217
692,Fergie,6,0.717461,0.711617
2151,Tommy James and the Shondells,6,0.578039,0.534938
315,Busta Rhymes,6,0.761542,0.64713
1974,The Hollies,6,0.688953,0.552337
207,Billy Ocean,6,0.587685,0.562439
554,Dion,6,0.61935,0.56289
684,Fall Out Boy,6,0.789724,0.79758
952,Jewel,6,0.673019,0.573084
2173,Train,6,0.702844,0.721984
2046,The Pointer Sisters,6,0.635466,0.584002
49,Adele,6,0.839977,0.935337
1044,Journey,6,0.760884,0.736837
395,Ciara,6,0.749624,0.729409
13,2Pac,6,0.83274,0.653096
143,Babyface,6,0.724365,0.638441
389,Christopher Cross,6,0.501666,0.518363
1757,Sly & the Family Stone,6,0.741118,0.691161
417,Color Me Badd,6,0.513522,0.510187
31,ABBA,6,0.785285,0.654721
859,INXS,6,0.643345,0.587593
2034,The O'Jays,6,0.652125,0.563548
