,Num,Title,Artist(s),Year,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,1,Theme from A Summer Place,Percy Faith,1960,Percy Faith,43.6486,-79.3853,"Toronto, Ontario, CA",instrumental,studio,,0.0,0.828185,0.343085,140.58667,0.4107,0.958987,5,0.614652,-9.697,1,0.029829,185.525,0.701424
1,2,He'll Have to Go,Jim Reeves,1960,Jim Reeves,32.166,-94.3418,"Carthage, TX, US",acoustic,studio,vocal,0.0,0.943273,0.40676,260.36245,0.259371,4e-06,9,0.112525,-13.487,1,0.0332,82.357,0.308763
2,3,Cathy's Clown,The Everly Brothers,1960,The Everly Brothers,37.6318,-84.634402,"Brownie, Kentucky",studio,vocal,,0.0,0.651616,0.589222,25.05098,0.397461,0.0,2,0.567569,-13.384,1,0.043971,118.009,0.936917
3,4,Running Bear,Johnny Preston,1960,Johnny Preston,29.8993,-93.9294,"Port Arthur, TX, US",studio,vocal,,0.0,0.861152,0.708651,161.93551,0.402259,0.043055,5,0.112506,-12.722,0,0.044354,119.475,0.77979
4,5,Teen Angel,Mark Dinning,1960,Mark Dinning,36.9939,-98.0366,"Manchester, OK, US",acoustic,studio,vocal,0.0,0.937279,0.608887,157.82603,0.114756,0.0,0,0.136496,-12.621,1,0.03639,103.068,0.393473
5,6,I'm Sorry,Brenda Lee,1960,Brenda Lee,33.844371,-84.47405,"Atlanta, GA",acoustic,studio,,0.0,0.96136,0.442461,152.5,0.268066,0.418339,10,0.150947,-11.632,1,0.041832,104.851,0.297096
6,7,It's Now or Never,Elvis Presley,1960,Elvis Presley,35.169255,-89.990415,"Memphis, TN",studio,vocal,,0.0,0.812189,0.492003,224.08,0.434125,0.000124,4,0.557055,-10.5,1,0.05003,127.285,0.713064
7,8,Handy Man,Jimmy Jones,1960,Jimmy Jones,35.1497,-90.0489,"Memphis, TN, US",studio,vocal,,0.0,0.689454,0.526844,123.89333,0.653827,0.0,10,0.183889,-8.656,1,0.052468,73.017,0.742487
8,9,Stuck on You,Elvis Presley,1960,Elvis Presley,35.169255,-89.990415,"Memphis, TN",studio,vocal,,0.0,0.728467,0.753396,25.05098,0.461201,0.000783,7,0.164759,-13.062,1,0.034323,131.371,0.985961
9,10,The Twist,Chubby Checker,1960,Chubby Checker,33.6265,-80.9474,"South Carolina, US",studio,electric,vocal,0.0,0.233991,0.382548,155.6419,0.89463,0.006955,4,0.074392,-7.969,1,0.054411,157.969,0.710069
