"Year","Artist(s)","Title"

"1960","Dinah Washington & Brook Benton","Baby (Youve Got What It Takes)"
"1960","Toni Fisher","The Big Hurt"
"1960","Larry Verne","Mr. Custer"
"1960","Ferrante & Teicher","Theme From The Apartment"
"1960","The Bill Black Combo","White Silver Sands"
"1960","The Browns","The Old Lamp-Lighter"
"1960","Dinah Washington & Brook Benton","A Rockin Good Way (To Mess Around and Fall in Love)"
"1960","Spencer Ross","Tracys Theme"
"1960","Ricky Nelson","Young Emotions"
"1961","Ferrante & Teicher","Exodus"
"1961","Ricky Nelson","Travelin Man"
"1961","Brook Benton","The Boll Weevil Song"
"1961","Shep","Daddys Home"
"1961","Ricky Nelson","Hello Mary Lou"
"1961","Little Caesar & the Romans","Those Oldies But Goodies"
"1961","Linda Scott","Ive Told Evry Little Star"
"1962","Chubby Checker & Dee Dee Sharp","Slow Twistin"
"1962","Ricky Nelson","Young World"
"1962","Booker T. & the M.G.s","Green Onions"
"1962","The Duprees","You Belong to Me"
"1962","Burl Ives","Funny Way of Laughin"
"1962","Billy Joe","Percolator (Twist)"
"1962","Ronnie & the Hi-Lites","I Wish That We Were Married"
"1963","Paul & Paula","Hey Paula"
"1963","Little Stevie Wonder","Fingertips"
"1963","Nino Tempo & April Stevens","Deep Purple"
"1963","The Rebels","Wild Weekend"
"1963","Jimmy Soul","If You Wanna Be Happy"
"1963","Lonnie Mack","Memphis Tennessee"
"1963","Ricky Nelson","Fools Rush In (Where Angels Fear to Tread)"
"1963","Rolf Harris","Tie Me Kangaroo Down Sport"
"1964","The Honeycombs","Have I the Right?"
"1964","Betty Everett & Jerry Butler","Let It Be Me"
"1964","Stan Getz & Astrud Gilberto","The Girl from Ipanema"
"1964","Ricky Nelson","For You"
"1965","Junior Walker & the All Stars","Shotgun"
"1965","Johnny Rivers","The Seventh Son"
"1965","Dino,  Desi & Billy","Im a Fool"
"1966","The Four Tops","Reach Out Ill Be There"
"1966","? & the Mysterians","96 Tears"
"1966","Nancy Sinatra","These Boots Are Made for Walkin"
"1966","Sam the Sham","Lil Red Riding Hood"
"1966","The Capitols","Cool Jerk"
"1966","Carla Thomas","B-A-B-Y"
"1966","Robert Parker","Barefootin"
"1966","Paul Revere & the Raiders","Just Like Me"
"1966","Ray Conniff Singers","Somewhere My Love"
"1966","The Shades of Blue","Oh How Happy"
"1966","Paul Revere & the Raiders","Hungry"
"1966","Wilson Pickett","634-5789 (Soulsville, U.S.A.)"
"1967","Frank & Nancy Sinatra","Somethin Stupid"
"1967","The Young Rascals","Groovin"
"1967","Marvin Gaye & Tammi Terrell","Your Precious Love"
"1967","Booker T & the M.G.s","Groovin"
"1967","Marvin Gaye & Tammi Terrell","Aint No Mountain High Enough"
"1967","Bill Cosby","Little Ole Man (Uptight Everythings Alright)"
"1968","O. C. Smith","Little Green Apples"
"1968","Marvin Gaye & Tammi Terrell","Aint Nothing Like the Real Thing"
"1968","The Bee Gees","Ive Gotta Get a Message to You"
"1968","Tommy Boyce & Bobby Hart","I Wonder What Shes Doing Tonight"
"1968","Marvin Gaye & Tammi Terrell","Youre All I Need to Get By"
"1969","The Beatles with Billy Preston","Get Back"
"1969","The Guess Who","These Eyes"
"1969","The Watts 103rd Street Rhythm Band","Do Your Thing"
"1969","Sammy Davis  Jr.","Ive Gotta Be Me"
"1969","Mama Cass Elliot","Its Getting Better"
"1969","Booker T & the M.G.s","Time is Tight"
"1969","The Supremes & The Temptations","Im Gonna Make You Love Me"
"1969","Crazy Elephant","Gimme Gimme Good Lovin"
"1969","Booker T & the M.G.s","Hang Em High"
"1969","Paul Revere & the Raiders","Mr. Sun, Mr. Moon"
"1969","The Guess Who","Laughing"
"1969","Paul Revere & the Raiders","Let Me"
"1970","The Guess Who","American Woman"
"1970","Eric Burdon & War","Spill the Wine"
"1970","Kenny Rogers & The First Edition","Somethings Burning"
"1970","Alive N Kickin","Tighter, Tighter"
"1970","The Four Tops","Still Water (Love)"
"1970","Frijid Pink","The House of the Rising Sun"
"1970","The Brotherhood of Man","United We Stand"
