,Artist(s),Counts,Rank,List of songs,Years of presence,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Image URL
1759,Rihanna,37,41.1351351351,Title: Pon de Replay -Year: 2005 -Rank: 18/---/Title: SOS -Year: 2006 -Rank: 19/---/Title: Unfaithful -Year: 2006 -Rank: 28/---/Title: Umbrella -Year: 2007 -Rank: 2/---/Title: Break It Off -Year: 2007 -Rank: 85/---/Title: Shut Up and Drive -Year: 2007 -Rank: 90/---/Title: Take a Bow -Year: 2008 -Rank: 12/---/Title: Disturbia -Year: 2008 -Rank: 16/---/Title: Don't Stop the Music -Year: 2008 -Rank: 17/---/Title: Live Your Life -Year: 2008 -Rank: 37/---/Title: Hate That I Love You -Year: 2008 -Rank: 62/---/Title: Live Your Life -Year: 2009 -Rank: 18/---/Title: Run This Town -Year: 2009 -Rank: 31/---/Title: Disturbia -Year: 2009 -Rank: 77/---/Title: Love the Way You Lie -Year: 2010 -Rank: 7/---/Title: Rude Boy -Year: 2010 -Rank: 15/---/Title: Only Girl (In the World) -Year: 2010 -Rank: 47/---/Title: Hard -Year: 2010 -Rank: 49/---/Title: S&M -Year: 2011 -Rank: 12/---/Title: What's My Name? -Year: 2011 -Rank: 20/---/Title: Only Girl (In the World) -Year: 2011 -Rank: 40/---/Title: All of the Lights -Year: 2011 -Rank: 59/---/Title: We Found Love -Year: 2011 -Rank: 69/---/Title: Cheers (Drink to That) -Year: 2011 -Rank: 77/---/Title: We Found Love -Year: 2012 -Rank: 8/---/Title: Where Have You Been -Year: 2012 -Rank: 21/---/Title: Take Care -Year: 2012 -Rank: 23/---/Title: Birthday Cake -Year: 2012 -Rank: 79/---/Title: You da One -Year: 2012 -Rank: 89/---/Title: Diamonds -Year: 2012 -Rank: 94/---/Title: Stay -Year: 2013 -Rank: 13/---/Title: Diamonds -Year: 2013 -Rank: 27/---/Title: Pour It Up -Year: 2013 -Rank: 70/---/Title: The Monster -Year: 2014 -Rank: 16/---/Title: Can't Remember to Forget You -Year: 2014 -Rank: 85/---/Title: FourFiveSeconds -Year: 2015 -Rank: 42/---/Title: Bitch Better Have My Money -Year: 2015 -Rank: 48,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,3,4,6,6,3,2,2,http://img2-ak.lst.fm/i/u/361e7fee96af4f2fb72c41ecd2593304.png
1354,Mariah Carey,36,32.6666666667,Title: Vision of Love -Year: 1990 -Rank: 6/---/Title: Love Takes Time -Year: 1990 -Rank: 76/---/Title: Someday -Year: 1991 -Rank: 13/---/Title: Emotions -Year: 1991 -Rank: 22/---/Title: I Don't Wanna Cry -Year: 1991 -Rank: 26/---/Title: Love Takes Time -Year: 1991 -Rank: 69/---/Title: I'll Be There -Year: 1992 -Rank: 16/---/Title: Can't Let Go -Year: 1992 -Rank: 23/---/Title: Make It Happen -Year: 1992 -Rank: 42/---/Title: Dreamlover -Year: 1993 -Rank: 8/---/Title: Hero -Year: 1994 -Rank: 5/---/Title: Without You -Year: 1994 -Rank: 16/---/Title: Never Forget You -Year: 1994 -Rank: 16/---/Title: Without You -Year: 1994 -Rank: 16/---/Title: Never Forget You -Year: 1994 -Rank: 16/---/Title: Anytime You Need a Friend -Year: 1994 -Rank: 47/---/Title: Endless Love -Year: 1994 -Rank: 56/---/Title: Fantasy -Year: 1995 -Rank: 7/---/Title: One Sweet Day -Year: 1996 -Rank: 2/---/Title: Always Be My Baby -Year: 1996 -Rank: 5/---/Title: Fantasy -Year: 1996 -Rank: 49/---/Title: Honey -Year: 1997 -Rank: 32/---/Title: My All -Year: 1998 -Rank: 17/---/Title: Heartbreaker -Year: 1999 -Rank: 35/---/Title: I Still Believe -Year: 1999 -Rank: 36/---/Title: When You Believe -Year: 1999 -Rank: 99/---/Title: Thank God I Found You -Year: 2000 -Rank: 45/---/Title: Loverboy -Year: 2001 -Rank: 80/---/Title: I Know What You Want -Year: 2003 -Rank: 17/---/Title: We Belong Together -Year: 2005 -Rank: 1/---/Title: Shake It Off -Year: 2005 -Rank: 15/---/Title: It's Like That -Year: 2005 -Rank: 69/---/Title: Don't Forget About Us -Year: 2006 -Rank: 50/---/Title: Touch My Body -Year: 2008 -Rank: 22/---/Title: Obsessed -Year: 2009 -Rank: 41/---/Title: #Beautiful -Year: 2013 -Rank: 81,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,7,1,3,1,1,3,1,1,0,1,0,3,1,0,1,1,0,0,0,1,0,0,http://img2-ak.lst.fm/i/u/61ca3abeab76743c4d6a3d7798c39022.png
1342,Madonna,36,48.5555555556,Title: Borderline -Year: 1984 -Rank: 35/---/Title: Lucky Star -Year: 1984 -Rank: 66/---/Title: Holiday -Year: 1984 -Rank: 79/---/Title: Like a Virgin -Year: 1985 -Rank: 2/---/Title: Crazy for You -Year: 1985 -Rank: 9/---/Title: Material Girl -Year: 1985 -Rank: 58/---/Title: Angel -Year: 1985 -Rank: 81/---/Title: Dress You Up -Year: 1985 -Rank: 98/---/Title: Papa Don't Preach -Year: 1986 -Rank: 29/---/Title: Live to Tell -Year: 1986 -Rank: 35/---/Title: True Blue -Year: 1986 -Rank: 76/---/Title: Open Your Heart -Year: 1987 -Rank: 30/---/Title: Who's That Girl -Year: 1987 -Rank: 42/---/Title: Causing a Commotion -Year: 1987 -Rank: 46/---/Title: La Isla Bonita -Year: 1987 -Rank: 58/---/Title: Like a Prayer -Year: 1989 -Rank: 25/---/Title: Express Yourself -Year: 1989 -Rank: 55/---/Title: Cherish -Year: 1989 -Rank: 59/---/Title: Vogue -Year: 1990 -Rank: 5/---/Title: Justify My Love -Year: 1991 -Rank: 21/---/Title: This Used to Be My Playground -Year: 1992 -Rank: 21/---/Title: Deeper and Deeper -Year: 1993 -Rank: 66/---/Title: Rain -Year: 1993 -Rank: 67/---/Title: I'll Remember -Year: 1994 -Rank: 13/---/Title: Secret -Year: 1994 -Rank: 84/---/Title: Take a Bow -Year: 1995 -Rank: 8/---/Title: Secret -Year: 1995 -Rank: 71/---/Title: You'll See -Year: 1996 -Rank: 51/---/Title: Don't Cry for Me Argentina -Year: 1997 -Rank: 87/---/Title: You Must Love Me -Year: 1997 -Rank: 99/---/Title: Frozen -Year: 1998 -Rank: 32/---/Title: Ray of Light -Year: 1998 -Rank: 75/---/Title: Music -Year: 2000 -Rank: 17/---/Title: Don't Tell Me -Year: 2001 -Rank: 34/---/Title: Hung Up -Year: 2006 -Rank: 91/---/Title: 4 Minutes -Year: 2008 -Rank: 23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,0,3,1,1,1,2,2,2,1,2,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,http://img2-ak.lst.fm/i/u/b39ba21b6e184bfaaca0bdf877e39cf0.png
1259,Lil Wayne,33,52.4848484848,Title: Back That Azz Up -Year: 1999 -Rank: 75/---/Title: Soldier -Year: 2005 -Rank: 26/---/Title: Gimme That -Year: 2006 -Rank: 69/---/Title: You -Year: 2007 -Rank: 40/---/Title: Make It Rain -Year: 2007 -Rank: 43/---/Title: Lollipop -Year: 2008 -Rank: 4/---/Title: Got Money -Year: 2008 -Rank: 40/---/Title: A Milli -Year: 2008 -Rank: 43/---/Title: Can't Believe It -Year: 2008 -Rank: 46/---/Title: Sweetest Girl (Dollar Bill) -Year: 2008 -Rank: 56/---/Title: Let It Rock -Year: 2008 -Rank: 65/---/Title: My Life -Year: 2008 -Rank: 88/---/Title: Mrs. Officer -Year: 2008 -Rank: 91/---/Title: Down -Year: 2009 -Rank: 20/---/Title: Let It Rock -Year: 2009 -Rank: 32/---/Title: Turnin Me On -Year: 2009 -Rank: 49/---/Title: Forever -Year: 2009 -Rank: 88/---/Title: Down -Year: 2010 -Rank: 41/---/Title: Forever -Year: 2010 -Rank: 71/---/Title: I Made It (Cash Money Heroes) -Year: 2010 -Rank: 80/---/Title: Right Above It -Year: 2010 -Rank: 90/---/Title: Look at Me Now -Year: 2011 -Rank: 21/---/Title: How to Love -Year: 2011 -Rank: 23/---/Title: 6 Foot 7 Foot -Year: 2011 -Rank: 41/---/Title: I'm on One -Year: 2011 -Rank: 47/---/Title: Motivation -Year: 2011 -Rank: 53/---/Title: She Will -Year: 2011 -Rank: 95/---/Title: The Motto -Year: 2012 -Rank: 20/---/Title: Love Me -Year: 2013 -Rank: 39/---/Title: Loyal -Year: 2014 -Rank: 30/---/Title: Believe Me -Year: 2014 -Rank: 89/---/Title: Only -Year: 2015 -Rank: 51/---/Title: Truffle Butter -Year: 2015 -Rank: 66,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,8,4,4,6,1,1,2,2,http://img2-ak.lst.fm/i/u/d5df4736e4ea44588cc14eea68d5c113.png
2375,Usher,30,38.3333333333,Title: You Make Me Wanna... -Year: 1997 -Rank: 14/---/Title: Nice and Slow -Year: 1998 -Rank: 9/---/Title: You Make Me Wanna -Year: 1998 -Rank: 15/---/Title: My Way -Year: 1998 -Rank: 16/---/Title: The Party Continues -Year: 1998 -Rank: 92/---/Title: U Remind Me -Year: 2001 -Rank: 15/---/Title: U Got It Bad -Year: 2002 -Rank: 9/---/Title: I Need a Girl (Part One) -Year: 2002 -Rank: 15/---/Title: U Don't Have to Call -Year: 2002 -Rank: 16/---/Title: Yeah! -Year: 2004 -Rank: 1/---/Title: Burn -Year: 2004 -Rank: 2/---/Title: Confessions Part II -Year: 2004 -Rank: 12/---/Title: My Boo -Year: 2004 -Rank: 24/---/Title: Lovers & Friends -Year: 2005 -Rank: 25/---/Title: Caught Up -Year: 2005 -Rank: 34/---/Title: My Boo -Year: 2005 -Rank: 54/---/Title: Same Girl -Year: 2007 -Rank: 100/---/Title: Love in This Club -Year: 2008 -Rank: 8/---/Title: OMG -Year: 2010 -Rank: 5/---/Title: DJ Got Us Fallin' in Love -Year: 2010 -Rank: 22/---/Title: Hey Daddy (Daddy's Home) -Year: 2010 -Rank: 82/---/Title: There Goes My Baby -Year: 2010 -Rank: 83/---/Title: More -Year: 2011 -Rank: 61/---/Title: DJ Got Us Fallin' in Love -Year: 2011 -Rank: 65/---/Title: Without You -Year: 2011 -Rank: 73/---/Title: Scream -Year: 2012 -Rank: 44/---/Title: Without You -Year: 2012 -Rank: 50/---/Title: Climax -Year: 2012 -Rank: 72/---/Title: New Flame -Year: 2014 -Rank: 77/---/Title: I Don't Mind -Year: 2015 -Rank: 55,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,3,0,4,3,0,1,1,0,4,3,3,0,1,1,http://img2-ak.lst.fm/i/u/1a08595ffd1f4fc9cfbc047067de0349.png
677,Elton John,30,44.8,Title: Rocket Man -Year: 1972 -Rank: 40/---/Title: Crocodile Rock -Year: 1973 -Rank: 7/---/Title: Daniel -Year: 1973 -Rank: 48/---/Title: Bennie and the Jets -Year: 1974 -Rank: 9/---/Title: Goodbye Yellow Brick Road -Year: 1974 -Rank: 72/---/Title: Don't Let the Sun Go Down on Me -Year: 1974 -Rank: 78/---/Title: Philadelphia Freedom -Year: 1975 -Rank: 3/---/Title: Lucy in the Sky with Diamonds -Year: 1975 -Rank: 34/---/Title: Someone Saved My Life Tonight -Year: 1975 -Rank: 91/---/Title: Bad Blood -Year: 1975 -Rank: 93/---/Title: Island Girl -Year: 1976 -Rank: 65/---/Title: Sorry Seems to Be the Hardest Word -Year: 1977 -Rank: 95/---/Title: Mama Can't Buy You Love -Year: 1979 -Rank: 36/---/Title: Little Jeannie -Year: 1980 -Rank: 16/---/Title: Blue Eyes -Year: 1982 -Rank: 62/---/Title: Empty Garden (Hey Hey Johnny) -Year: 1982 -Rank: 76/---/Title: I'm Still Standing -Year: 1983 -Rank: 74/---/Title: I Guess That's Why They Call It the Blues -Year: 1984 -Rank: 33/---/Title: Sad Songs (Say So Much) -Year: 1984 -Rank: 54/---/Title: That's What Friends are For -Year: 1986 -Rank: 1/---/Title: Nikita -Year: 1986 -Rank: 87/---/Title: I Don't Wanna Go on with You Like That -Year: 1988 -Rank: 43/---/Title: Candle in the Wind -Year: 1988 -Rank: 71/---/Title: Don't Let the Sun Go Down on Me -Year: 1992 -Rank: 26/---/Title: The One -Year: 1992 -Rank: 43/---/Title: Can You Feel the Love Tonight -Year: 1994 -Rank: 18/---/Title: Believe -Year: 1995 -Rank: 59/---/Title: Something About the Way You Look Tonight -Year: 1997 -Rank: 1/---/Title: Candle in the Wind 1997 -Year: 1997 -Rank: 1/---/Title: Candle in the Wind 1997 -Year: 1998 -Rank: 8,18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,1,0,1,1,0,2,1,2,0,2,0,2,0,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://img2-ak.lst.fm/i/u/6e9bdfb2663f4e78ae830ff1aa405c32.png
1317,Ludacris,29,51.724137931,Title: One Minute Man -Year: 2001 -Rank: 57/---/Title: Southern Hospitality -Year: 2001 -Rank: 77/---/Title: Move Bitch -Year: 2002 -Rank: 55/---/Title: Rollout (My Business) -Year: 2002 -Rank: 77/---/Title: Gossip Folks -Year: 2003 -Rank: 43/---/Title: Stand Up -Year: 2003 -Rank: 51/---/Title: Holidae In -Year: 2003 -Rank: 76/---/Title: Yeah! -Year: 2004 -Rank: 1/---/Title: Splash Waterfalls -Year: 2004 -Rank: 42/---/Title: Stand Up -Year: 2004 -Rank: 45/---/Title: Holidae In -Year: 2004 -Rank: 87/---/Title: Oh -Year: 2005 -Rank: 21/---/Title: Lovers & Friends -Year: 2005 -Rank: 25/---/Title: Pimpin' All Over the World -Year: 2005 -Rank: 53/---/Title: Sugar (Gimme Some) -Year: 2005 -Rank: 55/---/Title: Get Back -Year: 2005 -Rank: 77/---/Title: Number One Spot -Year: 2005 -Rank: 99/---/Title: Money Maker -Year: 2006 -Rank: 35/---/Title: Unpredictable -Year: 2006 -Rank: 60/---/Title: Glamorous -Year: 2007 -Rank: 10/---/Title: Runaway Love -Year: 2007 -Rank: 35/---/Title: Money Maker -Year: 2007 -Rank: 92/---/Title: How Do You Sleep? -Year: 2009 -Rank: 86/---/Title: Break Your Heart -Year: 2010 -Rank: 10/---/Title: How Low -Year: 2010 -Rank: 36/---/Title: Baby -Year: 2010 -Rank: 44/---/Title: My Chick Bad -Year: 2010 -Rank: 56/---/Title: All I Do Is Win -Year: 2010 -Rank: 79/---/Title: Tonight (I'm Lovin' You) -Year: 2011 -Rank: 16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,6,2,3,0,1,5,1,0,0,0,0,http://img2-ak.lst.fm/i/u/38239a4576db4eab89140d7a62ff04d1.png
409,Chris Brown,28,53.1428571429,Title: Run It! -Year: 2005 -Rank: 42/---/Title: Run It! -Year: 2006 -Rank: 16/---/Title: Yo (Excuse Me Miss) -Year: 2006 -Rank: 44/---/Title: Gimme That -Year: 2006 -Rank: 69/---/Title: Say Goodbye -Year: 2006 -Rank: 86/---/Title: Shortie Like Mine -Year: 2007 -Rank: 54/---/Title: Kiss Kiss -Year: 2007 -Rank: 93/---/Title: No Air -Year: 2008 -Rank: 6/---/Title: With You -Year: 2008 -Rank: 9/---/Title: Forever -Year: 2008 -Rank: 10/---/Title: Kiss Kiss -Year: 2008 -Rank: 19/---/Title: Get Like Me -Year: 2008 -Rank: 66/---/Title: Deuces -Year: 2010 -Rank: 68/---/Title: Look at Me Now -Year: 2011 -Rank: 21/---/Title: Yeah 3x -Year: 2011 -Rank: 49/---/Title: She Ain't You -Year: 2011 -Rank: 89/---/Title: My Last -Year: 2011 -Rank: 100/---/Title: International Love -Year: 2012 -Rank: 48/---/Title: Don't Wake Me Up -Year: 2012 -Rank: 56/---/Title: Birthday Cake -Year: 2012 -Rank: 79/---/Title: Turn Up the Music -Year: 2012 -Rank: 84/---/Title: Loyal -Year: 2014 -Rank: 30/---/Title: Show Me -Year: 2014 -Rank: 43/---/Title: New Flame -Year: 2014 -Rank: 77/---/Title: Post to Be -Year: 2015 -Rank: 24/---/Title: Only -Year: 2015 -Rank: 51/---/Title: All Eyes on You -Year: 2015 -Rank: 69/---/Title: Ayo -Year: 2015 -Rank: 86,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,5,0,1,4,4,0,3,4,http://img2-ak.lst.fm/i/u/b78f8741f33c4f28cf00a17404b627b4.png
632,Drake,28,58.75,"Title: Best I Ever Had -Year: 2009 -Rank: 22/---/Title: Forever -Year: 2009 -Rank: 88/---/Title: Find Your Love -Year: 2010 -Rank: 32/---/Title: Over -Year: 2010 -Rank: 60/---/Title: Forever -Year: 2010 -Rank: 71/---/Title: Say Something -Year: 2010 -Rank: 85/---/Title: Right Above It -Year: 2010 -Rank: 90/---/Title: What's My Name? -Year: 2011 -Rank: 20/---/Title: I'm on One -Year: 2011 -Rank: 47/---/Title: Moment 4 Life -Year: 2011 -Rank: 50/---/Title: Headlines -Year: 2011 -Rank: 85/---/Title: She Will -Year: 2011 -Rank: 95/---/Title: The Motto -Year: 2012 -Rank: 20/---/Title: Take Care -Year: 2012 -Rank: 23/---/Title: No Lie -Year: 2012 -Rank: 54/---/Title: Started from the Bottom -Year: 2013 -Rank: 32/---/Title: Hold On, We're Going Home -Year: 2013 -Rank: 34/---/Title: Love Me -Year: 2013 -Rank: 39/---/Title: Fuckin' Problems -Year: 2013 -Rank: 41/---/Title: Hold On, We're Going Home -Year: 2014 -Rank: 55/---/Title: Believe Me -Year: 2014 -Rank: 89/---/Title: 0 to 100 / The Catch Up -Year: 2014 -Rank: 97/---/Title: Hotline Bling -Year: 2015 -Rank: 30/---/Title: Only -Year: 2015 -Rank: 51/---/Title: Truffle Butter -Year: 2015 -Rank: 66/---/Title: Tuesday -Year: 2015 -Rank: 82/---/Title: Blessings -Year: 2015 -Rank: 88/---/Title: Back to Back -Year: 2015 -Rank: 99",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,3,4,3,6,http://img2-ak.lst.fm/i/u/d5e72a1e72334770c7843de692665d03.png
1703,R. Kelly,28,64.4642857143,Title: Bump n' Grind -Year: 1994 -Rank: 11/---/Title: Your Body's Callin' -Year: 1994 -Rank: 64/---/Title: I Can't Sleep Baby (If I) -Year: 1996 -Rank: 27/---/Title: Down Low (Nobody Has to Know) -Year: 1996 -Rank: 35/---/Title: You Remind Me of Something -Year: 1996 -Rank: 83/---/Title: I Believe I Can Fly -Year: 1997 -Rank: 6/---/Title: Gotham City -Year: 1997 -Rank: 70/---/Title: Friend of Mine -Year: 1998 -Rank: 72/---/Title: I'm Your Angel -Year: 1999 -Rank: 16/---/Title: When a Woman's Fed Up -Year: 1999 -Rank: 83/---/Title: Satisfy You -Year: 1999 -Rank: 95/---/Title: Fiesta -Year: 2001 -Rank: 45/---/Title: Contagious -Year: 2001 -Rank: 81/---/Title: I Wish -Year: 2001 -Rank: 87/---/Title: We Thuggin' -Year: 2002 -Rank: 83/---/Title: Ignition (Remix) -Year: 2003 -Rank: 2/---/Title: Thoia Thoing -Year: 2003 -Rank: 61/---/Title: Step in the Name of Love -Year: 2003 -Rank: 94/---/Title: Hotel -Year: 2004 -Rank: 32/---/Title: Step in the Name of Love -Year: 2004 -Rank: 78/---/Title: Gigolo -Year: 2004 -Rank: 80/---/Title: Happy People -Year: 2004 -Rank: 94/---/Title: Wonderful -Year: 2005 -Rank: 94/---/Title: I'm a Flirt -Year: 2007 -Rank: 49/---/Title: Go Getta -Year: 2007 -Rank: 80/---/Title: That's That -Year: 2007 -Rank: 99/---/Title: Same Girl -Year: 2007 -Rank: 100/---/Title: Do What U Want -Year: 2014 -Rank: 84,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1,3,0,3,1,3,4,1,0,4,0,0,0,0,0,0,1,0,http://img2-ak.lst.fm/i/u/b68b2f0fc9a34126a0d34aa137f480ed.png
