,Num,Title,Artist(s),Year,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,1,Uptown Funk,Mark Ronson featuring Bruno Mars,2015,Mark Ronson,51.5118,-0.20594,"Notting Hill, London, England, GB",studio,electric,vocal,0.0,0.006586,0.870316,238.68771,0.529591,5.7e-05,0,0.105547,-6.496,1,0.164026,115.476,0.892336
1,2,Thinking Out Loud,Ed Sheeran,2015,Ed Sheeran,52.166667,1.0,"Suffolk, England",studio,vocal,,0.0,0.484309,0.780443,276.08,0.44184,0.0,2,0.175583,-6.082,1,0.02972,79.001,0.5696
2,3,See You Again,Wiz Khalifa featuring Charlie Puth,2015,Wiz Khalifa,40.4383,-79.9975,"Pittsburgh, PA, US",studio,electric,vocal,0.0,0.346675,0.647187,221.20444,0.273055,1e-06,10,0.190021,-18.88,1,0.143226,81.689,0.243317
3,4,Trap Queen,Fetty Wap,2015,Fetty Wap,40.078875,-82.688125,"Paterson, New Jersey United States ",studio,electric,vocal,0.142950413381,0.00339,0.749973,220.93973,0.802193,0.0,7,0.41393,-6.014,1,0.166068,148.105,0.666523
4,5,Sugar,Maroon 5,2015,Maroon 5,33.973951,-118.248405,"Los Angeles, CA",studio,electric,vocal,0.0,0.17141,0.738002,181.38667,0.7735,0.0,1,0.129217,-6.225,1,0.073059,121.657,0.831946
5,6,Shut Up and Dance,Walk the Moon,2015,Walk the Moon,39.166759,-84.53822,"Cincinnati, OH",studio,electric,vocal,0.0,0.004848,0.491298,199.29333,0.839285,3e-06,1,0.203204,-5.539,1,0.07945,127.982,0.563899
6,7,Blank Space,Taylor Swift,2015,Taylor Swift,40.357242,-75.940153,"Reading, PA",studio,electric,vocal,0.0,0.07582,0.599807,232.77333,0.682205,0.0,5,0.081219,-5.664,1,0.240574,191.885,0.578592
7,8,Watch Me,Silentó,2015,Silentó,33.844371,-84.47405,"Atlanta, Georgia",studio,electric,vocal,0.321028486973,0.229704,0.81877,181.85333,0.763668,0.0,8,0.412138,-7.89,1,0.173629,139.973,0.962973
8,9,Earned It,The Weeknd,2015,The Weeknd,43.6486,-79.3853,"Toronto, Ontario, CA",studio,vocal,,0.0,0.494251,0.68376,214.02077,0.377801,0.0,2,0.169206,-5.637,0,0.032722,119.91,0.574488
9,10,The Hills,The Weeknd,2015,The Weeknd,43.6486,-79.3853,"Toronto, Ontario, CA",studio,electric,vocal,0.139310049138,0.08433,0.587162,242.51946,0.56643,0.0,0,0.144567,-7.017,0,0.052831,113.025,0.159132
10,11,Cheerleader,OMI,2015,OMI,18.0,-76.8,"Kingston, Jamaica",studio,electric,,0.0,0.305746,0.81415,180.0,0.44879,0.887038,4,0.134265,-9.065,1,0.044135,118.0,0.57617
11,12,Can't Feel My Face,The Weeknd,2015,The Weeknd,43.6486,-79.3853,"Toronto, Ontario, CA",studio,electric,vocal,0.116743531124,0.140392,0.712723,215.61279,0.766399,0.0,9,0.098053,-5.389,0,0.045483,107.984,0.570648
12,13,Love Me like You Do,Ellie Goulding,2015,Ellie Goulding,52.200524,-2.9799155,"Lyonshall, England",studio,electric,vocal,0.0,0.20171,0.256554,238.73333,0.619958,0.0,5,0.077977,-8.011,0,0.041023,189.385,0.359694
13,14,Take Me to Church,Hozier,2015,Hozier,53.2027778,-6.0983333,"Bray, Ireland",studio,electric,vocal,0.0,0.336397,0.588576,242.29279,0.577671,0.0,4,0.115772,-5.143,0,0.052264,128.766,0.214146
14,15,Bad Blood,Taylor Swift featuring Kendrick Lamar,2015,Taylor Swift,40.357242,-75.940153,"Reading, PA",studio,electric,vocal,0.0,0.114994,0.634773,203.78077,0.466295,3e-06,7,0.63065,-17.185,1,0.179448,173.614,0.379788
15,16,Lean On,Major Lazer and DJ Snake featuring MØ,2015,Major Lazer,18.0,-76.8,"Kingston, Jamaica",studio,electric,vocal,0.0,0.022229,0.719233,177.37279,0.76532,0.001898,7,0.241203,-5.111,0,0.059481,97.969,0.325091
16,17,Want to Want Me,Jason Derulo,2015,Jason Derulo,25.779808,-80.1532,"Miami, FL",studio,electric,vocal,0.0,0.00906,0.775017,207.71937,0.679879,0.0,0,0.108751,-5.508,0,0.062858,114.025,0.636422
17,18,Shake It Off,Taylor Swift,2015,Taylor Swift,40.357242,-75.940153,"Reading, PA",studio,electric,vocal,0.0,0.050828,0.638242,219.04,0.8084,0.0,7,0.482334,-4.552,1,0.203437,160.026,0.940321
