,Year,Artist(s),Title,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,1960,Dinah Washington & Brook Benton,Baby (Youve Got What It Takes),Dinah Washington & Brook Benton,,,,,,,,,,,,,,,,,,,
1,1960,Toni Fisher,The Big Hurt,Toni Fisher,,,,,,,,,,,,,,,,,,,
2,1960,Larry Verne,Mr. Custer,Larry Verne,,,,,,,,,,,,,,,,,,,
3,1960,Ferrante & Teicher,Theme From The Apartment,Ferrante & Teicher,,,,,,,,,,,,,,,,,,,
4,1960,The Bill Black Combo,White Silver Sands,The Bill Black Combo,,,,,,,,,,,,,,,,,,,
5,1960,The Browns,The Old Lamp-Lighter,The Browns,,,,,,,,,,,,,,,,,,,
6,1960,Dinah Washington & Brook Benton,A Rockin Good Way (To Mess Around and Fall in Love),Dinah Washington & Brook Benton,,,,,,,,,,,,,,,,,,,
7,1960,Spencer Ross,Tracys Theme,Spencer Ross,,,,,,,,,,,,,,,,,,,
8,1960,Ricky Nelson,Young Emotions,Ricky Nelson,,,,,,,,,,,,,,,,,,,
9,1961,Ferrante & Teicher,Exodus,Ferrante & Teicher,,,,,,,,,,,,,,,,,,,
10,1961,Ricky Nelson,Travelin Man,Ricky Nelson,,,,,,,,,,,,,,,,,,,
11,1961,Brook Benton,The Boll Weevil Song,Brook Benton,40.714269,-74.005973,"New York, NY",studio,electric,vocal,0.0,0.088647,0.746863,168.32109,0.410727,0.002911,0,0.063791,-16.963,0,0.119446,65.83,0.859087
12,1961,Shep,Daddys Home,Shep,,,,,,,,,,,,,,,,,,,
13,1961,Ricky Nelson,Hello Mary Lou,Ricky Nelson,,,,,,,,,,,,,,,,,,,
14,1961,Little Caesar & the Romans,Those Oldies But Goodies,Little Caesar & the Romans,,,,,,,,,,,,,,,,,,,
15,1961,Linda Scott,Ive Told Evry Little Star,Linda Scott,,,,,,,,,,,,,,,,,,,
16,1962,Chubby Checker & Dee Dee Sharp,Slow Twistin,Chubby Checker & Dee Dee Sharp,,,,,,,,,,,,,,,,,,,
17,1962,Ricky Nelson,Young World,Ricky Nelson,,,,,,,,,,,,,,,,,,,
18,1962,Booker T. & the M.G.s,Green Onions,Booker T. & the M.G.s,,,,,,,,,,,,,,,,,,,
19,1962,The Duprees,You Belong to Me,The Duprees,,,,,,,,,,,,,,,,,,,
20,1962,Burl Ives,Funny Way of Laughin,Burl Ives,39.0538,-88.0234,"Hunt City, IL, US",studio,vocal,,0.0,0.674574,0.54894,163.46848,0.377326,0.0,4,0.059662,-13.536,1,0.037273,148.347,0.643391
21,1962,Billy Joe,Percolator (Twist),Billy Joe,,,,,,,,,,,,,,,,,,,
22,1962,Ronnie & the Hi-Lites,I Wish That We Were Married,Ronnie & the Hi-Lites,,,,,,,,,,,,,,,,,,,
23,1963,Paul & Paula,Hey Paula,Paul & Paula,,,,,,,,,,,,,,,,,,,
24,1963,Little Stevie Wonder,Fingertips,Little Stevie Wonder,,,,,,,,,,,,,,,,,,,
25,1963,Nino Tempo & April Stevens,Deep Purple,Nino Tempo & April Stevens,43.0955,-79.0558,"Niagara Falls, NY, US",studio,karaoke,electric,0.0027559067854,0.293325,0.714162,163.74689,0.583786,0.811635,5,0.111377,-13.249,1,0.038744,132.131,0.750458
